"time_period","time_identifier","geographic_level","country_code","country_name","region_name","region_code","breakdown_topic","breakdown","apps_received","apps_approved","loan_amount_awarded_in_thousands"
201415,"Academic year","National","E92000001","England","","","Age group","19-23","z","z","z"
201415,"Academic year","National","E92000001","England","","","Age group","24-30","27000","22680","63300"
201415,"Academic year","National","E92000001","England","","","Age group","31-40","23280","19790","50800"
201415,"Academic year","National","E92000001","England","","","Age group","41-50","12850","10940","26500"
201415,"Academic year","National","E92000001","England","","","Age group","50+","4050","3440","8100"
201415,"Academic year","National","E92000001","England","","","Age group","Unknown","110","10"," low"
201415,"Academic year","National","E92000001","England","","","Gender","Female","48670","41550","104000"
201415,"Academic year","National","E92000001","England","","","Gender","Male","18610","15310","44900"
201415,"Academic year","National","E92000001","England","","","Provider type","General FE College including Tertiary","44570","38430","102700"
201415,"Academic year","National","E92000001","England","","","Provider type","Other Public Funded","3850","3400","7000"
201415,"Academic year","National","E92000001","England","","","Provider type","Private Sector Public Funded","16500","13120","33300"
201415,"Academic year","National","E92000001","England","","","Provider type","Schools"," low"," low"," low"
201415,"Academic year","National","E92000001","England","","","Provider type","Sixth form college","870","760","1600"
201415,"Academic year","National","E92000001","England","","","Provider type","Special colleges","1320","1160","4200"
201415,"Academic year","National","E92000001","England","","","Provider type","Unknown","180","10"," low"
201415,"Academic year","National","E92000001","England","","","Qualification type","A Level","820","680","500"
201415,"Academic year","National","E92000001","England","","","Qualification type","Level 3 Certificate","9990","8820","9900"
201415,"Academic year","National","E92000001","England","","","Qualification type","Level 3 Diploma","34880","29280","84800"
201415,"Academic year","National","E92000001","England","","","Qualification type","Level 3 Vocational Qualification"," low"," low"," low"
201415,"Academic year","National","E92000001","England","","","Qualification type","Level 4+ Certificate","760","630","800"
201415,"Academic year","National","E92000001","England","","","Qualification type","Level 4+ Diploma","3560","3040","8100"
201415,"Academic year","National","E92000001","England","","","Qualification type","Level 4+ Vocational Qualification"," low"," low"," low"
201415,"Academic year","National","E92000001","England","","","Qualification type","QAA Access to HE","17060","14410","44800"
201415,"Academic year","National","E92000001","England","","","Qualification type","Unknown","230","10"," low"
201415,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Agriculture, Horticulture and Animal Care","1500","1310","5900"
201415,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Arts, Media and Publishing","2390","2030","7800"
201415,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Business, Administration and Law","9370","7720","15600"
201415,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Construction, Planning and the Built Environment","2880","2540","9300"
201415,"Academic year","National","E92000001","England","","","Sector subject area (tier 1)","Education and Training","9300","8400","13400"
