time_period,time_identifier,quarter,geographic_level,country_code,country_name,region_code,region_name,gender,age,population,number_NEET,conf_interval_plus_minus_NEET,lower_bound_number_NEET,upper_bound_number_NEET,percent_NEET,percent_conf_interval_plus_minus_NEET,lower_bound_percent_NEET,upper_bound_percent_NEET,percent_annual_change_NEET,percent_annual_change_conf_interval_plus_minus_NEET,lower_bound_percent_annual_change_NEET,upper_bound_percent_annual_change_NEET,number_NET,conf_interval_plus_minus_NET,lower_bound_number_NET,upper_bound_number_NET,percent_NET,percent_conf_interval_plus_minus_NET,lower_bound_percent_NET,upper_bound_percent_NET,percent_annual_change_NET,percent_annual_change_conf_interval_plus_minus_NET,lower_bound_percent_annual_change_NET,upper_bound_percent_annual_change_NET,employment_rate_NET,number_ILO_unemployed_less_6months,conf_interval_plus_minus_ILO_unemployed_less_6months,lower_bound_number_ILO_unemployed_less_6months,upper_bound_number_ILO_unemployed_less_6months,number_ILO_unemployed_more_6months,conf_interval_plus_minus_ILO_unemployed_more_6months,lower_bound_number_ILO_unemployed_more_6months,upper_bound_number_ILO_unemployed_more_6months,number_inactive_wants_a_job,conf_interval_plus_minus_inactive_wants_a_job,lower_bound_number_inactive_wants_a_job,upper_bound_number_inactive_wants_a_job,number_inactive_does_not_want_a_job,conf_interval_plus_minus_inactive_does_not_want_a_job,lower_bound_number_inactive_does_not_want_a_job,upper_bound_number_inactive_does_not_want_a_job,number_reason_inactive_looking_after_family_or_home,conf_interval_plus_minus_reason_inactive_looking_after_family_or_home,lower_bound_number_reason_inactive_looking_after_family_or_home,upper_bound_number_reason_inactive_looking_after_family_or_home,number_reason_inactive_long-term_or_temporary_sick,conf_interval_plus_minus_reason_inactive_long-term_or_temporary_sick,lower_bound_number_reason_inactive_long-term_or_temporary_sick,upper_bound_number_reason_inactive_long-term_or_temporary_sick,number_reason_inactive_other,conf_interval_plus_minus_reason_inactive_other,lower_bound_number_reason_inactive_other,upper_bound_number_reason_inactive_other,percent_ILO_unemployed_less_6months,percent_conf_interval_plus_minus_ILO_unemployed_less_6months,lower_bound_percent_ILO_unemployed_less_6months,upper_bound_percent_ILO_unemployed_less_6months,percent_ILO_unemployed_more_6months,percent_conf_interval_plus_minus_ILO_unemployed_more_6months,lower_bound_percent_ILO_unemployed_more_6months,upper_bound_percent_ILO_unemployed_more_6months,percent_inactive_wants_a_job,percent_conf_interval_plus_minus_inactive_wants_a_job,lower_bound_percent_inactive_wants_a_job,upper_bound_percent_inactive_wants_a_job,percent_inactive_does_not_want_a_job,percent_conf_interval_plus_minus_inactive_does_not_want_a_job,lower_bound_percent_inactive_does_not_want_a_job,upper_bound_percent_inactive_does_not_want_a_job,percent_reason_inactive_looking_after_family_or_home,percent_conf_interval_plus_minus_reason_inactive_looking_after_family_or_home,lower_bound_percent_reason_inactive_looking_after_family_or_home,upper_bound_percent_reason_inactive_looking_after_family_or_home,percent_reason_inactive_long-term_or_temporary_sick,percent_conf_interval_plus_minus_reason_inactive_long-term_or_temporary_sick,lower_bound_percent_reason_inactive_long-term_or_temporary_sick,upper_bound_percent_reason_inactive_long-term_or_temporary_sick,percent_reason_inactive_other,percent_conf_interval_plus_minus_reason_inactive_other,lower_bound_percent_reason_inactive_other,upper_bound_percent_reason_inactive_other
2021,Calendar year,Q4,National,E92000001,England,,,Total,16,606934,19506.7988184334,7970.0213170175,11536.7775014159,27476.8201354509,3.213990123874,1.31316112081668,1.90082900305732,4.52715124469068,-0.615132043126,1.96257852469366,-2.57771056781966,1.34744648156766,22935.7988184334,8616.92164832388,14318.8771701095,31552.7204667573,3.7789609444245,1.41974607590346,2.35921486852105,5.19870702032796,-0.936663685575495,2.14740785753129,-3.08407154310678,1.21074417195579,14.9504276138145,6007,4473.31137008924,1533.68862991076,10480.3113700892,0,0,0,0,4366.75990452733,3819.19531869288,547.564585834448,8185.9552232202,9133.0389139061,5501.42773468385,3631.61117922224,14634.46664859,0,0,0,0,1634.78117800358,2342.0940198217,-707.312841818114,3976.87519782528,11865.0176404298,6256.15218850298,5608.86545192686,18121.1698289328,30.7943915140169,20.8023308568209,9.99206065719593,51.5967223708378,0,0,0,0,22.3858355498128,18.7829018003897,3.60293374942305,41.1687373502025,46.8197729361704,22.4851239219065,24.3346490142639,69.3048968580769,0,0,0,0,8.38057127271316,12.4863683314578,-4.10579705874462,20.8669396041709,60.82503721327,21.9963705993011,38.8286666139689,82.8214078125711
2021,Calendar year,Q4,National,E92000001,England,,,Total,17,638910,18486,7716.24450198467,10769.7554980153,26202.2445019847,2.89336526271306,1.20772010173337,1.68564516097969,4.10108536444643,0.900139970713058,1.64162182033053,-0.74148184961747,2.54176179104359,30330,9788.930713921,20541.069286079,40118.930713921,4.74714748556135,1.53212983267143,3.21501765288992,6.27927731823277,1.23127341556135,2.1199825109563,-0.88870909539495,3.35125592651764,39.0504451038576,2630,2947.4213288082,-317.421328808203,5577.4213288082,0,0,0,0,5526,4262.64530013655,1263.35469986345,9788.64530013655,10330,5805.91470855601,4524.08529144399,16135.914708556,1040,1855.7649576242,-815.764957624199,2895.7649576242,6513,4624.08332199805,1888.91667800195,11137.0833219981,8303,5213.59299053583,3089.40700946417,13516.5929905358,14.226982581413,16.1380688110002,-1.91108622958723,30.3650513924132,0,0,0,0,29.8928919182084,21.1487552461946,8.74413667201376,51.041647164403,55.8801255003787,22.9385329802421,32.9415925201366,78.8186584806208,5.62587904360056,10.6448972515129,-5.0190182079123,16.2707762951134,35.2320675105485,22.0683010797313,13.1637664308172,57.3003685902798,44.915070864438,22.9790600970977,21.9360107673402,67.8941309615357
2021,Calendar year,Q4,National,E92000001,England,,,Total,18,568866,47374,13244.9795441035,34129.0204558965,60618.9795441035,8.32779600116723,2.32831273869479,5.99948326247244,10.656108739862,-4.29177682883276,3.58873855694912,-7.88051538578189,-0.703038271883642,149806,21113.4958453979,128692.504154602,170919.495845398,26.3341454753844,3.71150602169894,22.6226394536854,30.0456514970833,-0.952188394615636,5.2148276938873,-6.16701608850294,4.26263929927167,68.3764335206867,18620,8529.54223890325,10090.4577610967,27149.5422389033,6333,5029.63170675783,1303.36829324217,11362.6317067578,6940,5262.31374438751,1677.68625561249,12202.3137443875,15481,7799.5695596071,7681.4304403929,23280.5695596071,825,1824.20757471229,-999.207574712294,2649.20757471229,4723,4349.71711523775,373.282884762248,9072.71711523775,16873,8132.43081370562,8740.56918629438,25005.4308137056,39.3042597205218,14.7716953752936,24.5325643452282,54.0759550958154,13.3680922024739,10.2921256964982,3.0759665059757,23.6602178989722,14.649385739013,10.694105372964,3.95528036604892,25.343491111977,32.6782623379913,14.1853012159151,18.4929611220762,46.8635635539064,1.7414615611939,3.95615703895735,-2.21469547776344,5.69761860015125,9.9696035800228,9.06076678614785,0.908836793874944,19.0303703661707,35.6165829357876,14.4825342031936,21.1340487325939,50.0991171389812
2021,Calendar year,Q4,National,E92000001,England,,,Total,19,548580,62589,16259.5325739473,46329.4674260527,78848.5325739473,11.4092748550804,2.96393098070424,8.44534387437615,14.3732058357846,-1.02692170491961,4.26694847348464,-5.29387017840425,3.24002676856503,152156,22896.5183099445,129259.481690055,175052.518309945,27.7363374530606,4.17377926828257,23.5625581847781,31.9101167213432,-6.62611435693938,6.0774421892466,-12.703556546186,-0.548672167692773,58.865243565814,15732,8535.68885240715,7196.31114759285,24267.6888524071,15117,8372.01301267622,6744.98698732378,23489.0130126762,7392,5896.5772822542,1495.4227177458,13288.5772822542,24348,10532.6668346752,13815.3331653248,34880.6668346752,1620,2775.11015977997,-1155.11015977997,4395.11015977997,11071,7191.69452986012,3879.30547013988,18262.6945298601,19049,9363.25222565081,9685.74777434919,28412.2522256508,25.1354071801754,12.5359817560344,12.599425424141,37.6713889362098,24.1528064036812,12.3688896162559,11.7839167874253,36.5216960199371,11.8103820160092,9.32648205422121,2.483899961788,21.1368640702304,38.9014044001342,14.0888455945536,24.8125588055806,52.9902499946879,2.5883142405215,4.58871606678498,-2.00040182626349,7.17703030730648,17.6884117017367,11.0268652003323,6.6615465014044,28.7152769020691,30.4350604738852,13.2971768855434,17.1378835883418,43.7322373594285
2021,Calendar year,Q4,National,E92000001,England,,,Total,20,606840,59892,16704.1825571338,43187.8174428662,76596.1825571338,9.86948783863951,2.75265021375219,7.11683762488732,12.6221380523917,0.388544355639509,3.86900512803643,-3.48046077239692,4.25754948367594,197131.228706559,26229.0853121955,170902.143394364,223360.314018755,32.484877184523,4.32224067500421,28.1626365095188,36.8071178595272,-5.02499012547698,6.2347148030518,-11.2597049285288,1.20972467757481,69.6182079354091,17553,9386.5696500647,8166.4303499353,26939.5696500647,10245,7215.45273901184,3029.54726098816,17460.4527390118,4086,4580.22731199152,-494.227311991522,8666.22731199152,28008,11751.2784077566,16256.7215922434,39759.2784077566,6825,5906.09165094456,918.908349055444,12731.0916509446,17423,9352.77738860789,8070.22261139211,26775.7773886079,7846,6327.07799913835,1518.92200086165,14173.0779991383,29.3077539571228,13.7660259781774,15.5417279789454,43.0737799353002,17.105790422761,11.3884625227115,5.71732790004947,28.4942529454725,6.82228010418754,7.62521755016209,-0.802937445974554,14.4474976543496,46.7641755159287,15.0900284770091,31.6741470389196,61.8542039929377,11.3955119214586,9.61006237324828,1.78544954821035,21.0055742947069,29.0906965871903,13.7359941133877,15.3547024738025,42.826690700578,13.1002471114673,10.2042347445946,2.89601236687267,23.3044818560619
2021,Calendar year,Q4,National,E92000001,England,,,Total,21,617192,92364,20275.2788156497,72088.7211843503,112639.27881565,14.9651972157773,3.28508451432451,11.6801127014528,18.2502817301018,-1.16215711422274,4.79177840131715,-5.95393551553989,3.62962128709441,306550.216488885,28417.6211025547,278132.59538633,334967.83759144,49.6685336959787,4.60434048117194,45.0641932148068,54.2728741771506,-4.41544265402129,6.59861345044823,-11.0140561044695,2.18317079642694,69.8698630658612,22648,10685.9687269696,11962.0312730304,33333.9687269696,12385,7970.0928399278,4414.9071600722,20355.0928399278,18994,9816.07042432103,9177.92957567897,28810.070424321,38337,13718.3199388572,24618.6800611428,52055.3199388572,10204,7247.40027204445,2956.59972795555,17451.4002720445,30987,12411.4206665074,18575.5793334926,43398.4206665074,16140,9070.1560454519,7069.8439545481,25210.1560454519,24.5203759040319,10.3791677169497,14.1412081870822,34.8995436209815,13.4089039019531,8.22086206334244,5.18804183861071,21.6297659652956,20.564289116972,9.75099306019114,10.8132960567808,30.3152821771631,41.506431077043,11.8876458897149,29.6187851873281,53.3940769667579,11.0475943008098,7.56304720803912,3.48454709277072,18.610641508849,33.548785241003,11.391317732188,22.157467508815,44.940102973191,17.4743406522022,9.16176196242069,8.31257868978147,26.6361026146228
2021,Calendar year,Q4,National,E92000001,England,,,Total,22,692260,102815,21324.1129803559,81490.8870196441,124139.112980356,14.8520786987548,3.08036185542367,11.7717168433311,17.9324405541785,-4.7912498312452,4.70898382085516,-9.50023365210035,-0.0822660103900414,413314.24270328,29411.7696940868,383902.473009193,442726.012397366,59.7050591834397,4.24865941901696,55.4563997644227,63.9537186024566,-8.27903874656032,5.96186432252776,-14.2409030690881,-2.31717442403257,75.1242542895355,19730,9977.93026773652,9752.06973226348,29707.9302677365,17603,9439.65127758486,8163.34872241514,27042.6512775849,22696,10678.0463057012,12017.9536942988,33374.0463057012,42786,14439.5220822232,28346.4779177768,57225.5220822232,11454,7649.11812104915,3804.88187895085,19103.1181210492,23305,10815.4376148568,12489.5623851432,34120.4376148568,30723,12348.9482603341,18374.0517396659,43071.9482603341,19.1898069347858,8.91238244527742,10.2774244895084,28.1021893800632,17.1210426494189,8.52535914915037,8.59568350026849,25.6464017985692,22.0746000097262,9.38666635260049,12.6879336571257,31.4612663623267,41.6145504060691,11.1557906981618,30.4587597079073,52.770341104231,11.1403978018772,7.12078661141797,4.01961119045919,18.2611844132951,22.6669260321937,9.47554918302499,13.1913768491688,32.1424752152187,29.8818265817245,10.3596314941386,19.5221950875859,40.241458075863
2021,Calendar year,Q4,National,E92000001,England,,,Total,23,675603,95267,20883.4665691745,74383.5334308255,116150.466569175,14.101032707078,3.09108552939737,11.0099471776806,17.1921182364753,0.00572942707797353,4.33619040209952,-4.33046097502154,4.34191982917749,476966.064916902,27337.9115499958,449628.153366906,504303.976466898,70.5985711900187,4.04644614514675,66.5521250448719,74.6450173351654,-0.684357579981338,5.65753627546176,-6.34189385544309,4.97317869548042,80.0264616274959,21196,10460.2608380593,10735.7391619407,31656.2608380593,12475,8078.1246612611,4396.8753387389,20553.1246612611,20936,10397.9726435125,10538.0273564875,31333.9726435125,40660,14270.6136211173,26389.3863788827,54930.6136211173,15165,8888.50712438658,6276.49287561342,24053.5071243866,28049,11969.8381233124,16079.1618766876,40018.8381233124,18382,9762.1097879938,8619.8902120062,28144.1097879938,22.2490474141098,10.1900110377911,12.0590363763187,32.4390584519009,13.0947757355643,8.26490867644961,4.82986705911465,21.3596844120139,21.9761302444708,10.1450791028758,11.8310511415951,32.1212093473466,42.6800466058551,12.1180137562024,30.5620328496527,54.7980603620575,15.9184187599064,8.96327007045968,6.95514868944669,24.881688830366,29.4425141969412,11.1667059328998,18.2758082640415,40.609220129841,19.2952438934783,9.66809224175857,9.62715165171976,28.9633361352369
2021,Calendar year,Q4,National,E92000001,England,,,Total,24,691895,93041,20587.7101094814,72453.2898905186,113628.710109481,13.4472716235845,2.97555411001401,10.4717175135705,16.4228257335985,-0.637588576415496,4.31037123790622,-4.94795981432171,3.67278266149072,496175.013103564,27179.7474000567,468995.265703507,523354.76050362,71.7124727167509,3.92830521973085,67.7841674970201,75.6407779364818,2.19647577675093,5.69759731803566,-3.50112154128473,7.89407309478659,81.2483503717709,17609,9503.85497101966,8105.14502898034,27112.8549710197,15737,8996.9529660642,6740.0470339358,24733.9529660642,19211,9914.95887719121,9296.04112280879,29125.9588771912,40484,14163.7950656964,26320.2049343036,54647.7950656964,16079,9091.8892039028,6987.1107960972,25170.8892039028,22161,10625.6677673386,11535.3322326614,32786.6677673386,21455,10460.5519450311,10994.4480549689,31915.5519450311,18.9260648531293,9.52292100155553,9.40314385157374,28.4489858546848,16.9140486452209,9.11353737945887,7.80051126576205,26.0275860246798,20.6478864156662,9.84048364158006,10.8074027740862,30.4883700572463,43.5120000859836,12.0526352947878,31.4593647911958,55.5646353807714,17.281628529358,9.19163380419404,8.08999472516399,26.4732623335521,23.8185316150944,10.3557499359745,13.46278167912,34.1742815510689,23.0597263571974,10.2400795624051,12.8196467947922,33.2998059196025
2021,Calendar year,Q4,National,E92000001,England,,,Total,16-17,1245844,37992.7988184334,11091.5013881918,26901.2974302416,49084.3002066252,3.04956309284577,0.890280114379633,2.15928297846613,3.9398432072254,0.126163966845767,1.28440305337694,-1.15823908653117,1.41056702022271,53265.7988184334,13049.7031240574,40216.095694376,66315.5019424909,4.2754790181141,1.04745884107942,3.22802017703468,5.32293785919352,0.151740425114101,1.51368195025136,-1.36194152513726,1.66542237536546,28.6731830532776,8637,5352.24050296967,3284.75949703033,13989.2405029697,0,0,0,0,9892.75990452733,5725.22263261321,4167.53727191412,15617.9825371405,19463.0389139061,7999.28189280224,11463.7570211039,27462.3208067083,1040,1862.94542920489,-822.945429204891,2902.94542920489,8147.78117800358,5199.47730175412,2948.30387624946,13347.2584797577,20168.0176404298,8140.52511328788,12027.492527142,28308.5427537177,22.7332554289459,13.5194022742626,9.21385315468328,36.2526577032085,0,0,0,0,26.0385131187743,14.1560234957571,11.8824896230173,40.1945366145314,51.2282314522798,16.1238704904218,35.1043609618579,67.3521019427016,2.73736084822319,5.26343686700886,-2.52607601878567,8.00079771523205,21.4455934582277,13.2398991796178,8.20569427860992,34.6854926378455,53.0837902646032,16.0980321141728,36.9857581504304,69.1818223787759
