"time_period","time_identifier","geographic_level","country_code","country_name","region_code","region_name","la_name","old_la_code","new_la_code","breakdown","group_name","total_ects_count_provider_led","total_mentors_trained_count_provider_led","count_swfc_ects","count_swfc_ects_pending_confirmation_provider_led","count_swfc_ects_provider_led","count_swfc_ects_school_led","percent_swfc_ects_pending_confirmation_provider_led","percent_swfc_ects_provider_led","percent_swfc_ects_school_led"
"202122","Academic year","Regional","E92000001","England","E12000004","East Midlands",,,,"Overall","Overall",2236,2349,2024,3,1972,49,"0.1","97.4","2.4"
"202223","Academic year","Regional","E92000001","England","E12000004","East Midlands",,,,"Overall","Overall",2123,1692,1716,0,1670,46,"0","97.3","2.7"
"202122","Academic year","Regional","E92000001","England","E12000006","East of England",,,,"Overall","Overall",2923,2968,2696,2,2614,80,"0.1","97","3"
"202223","Academic year","Regional","E92000001","England","E12000006","East of England",,,,"Overall","Overall",2787,2219,2401,0,2333,68,"0","97.2","2.8"
"202122","Academic year","Regional","E92000001","England","E12000007","London",,,,"Overall","Overall",4784,4912,4545,4,4211,330,"0.1","92.7","7.3"
"202223","Academic year","Regional","E92000001","England","E12000007","London",,,,"Overall","Overall",4804,3501,4050,0,3794,256,"0","93.7","6.3"
"202122","Academic year","Regional","E92000001","England","E12000001","North East",,,,"Overall","Overall",1075,998,887,4,859,24,"0.5","96.8","2.7"
"202223","Academic year","Regional","E92000001","England","E12000001","North East",,,,"Overall","Overall",1158,780,805,0,784,21,"0","97.4","2.6"
"202122","Academic year","Regional","E92000001","England","E12000002","North West",,,,"Overall","Overall",3423,3083,2794,2,2700,92,"0.1","96.6","3.3"
"202223","Academic year","Regional","E92000001","England","E12000002","North West",,,,"Overall","Overall",3347,2224,2372,1,2290,81,"0","96.5","3.4"
"202122","Academic year","Regional","E92000001","England","E12000008","South East",,,,"Overall","Overall",4302,4556,4064,3,3875,186,"0.1","95.3","4.6"
"202223","Academic year","Regional","E92000001","England","E12000008","South East",,,,"Overall","Overall",4241,3337,3637,0,3481,156,"0","95.7","4.3"
"202122","Academic year","Regional","E92000001","England","E12000009","South West",,,,"Overall","Overall",2233,2230,2043,6,1927,110,"0.3","94.3","5.4"
"202223","Academic year","Regional","E92000001","England","E12000009","South West",,,,"Overall","Overall",2318,1651,1880,0,1799,81,"0","95.7","4.3"
"202122","Academic year","Regional","E92000001","England","E12000005","West Midlands",,,,"Overall","Overall",2986,2898,2613,6,2520,87,"0.2","96.4","3.3"
"202223","Academic year","Regional","E92000001","England","E12000005","West Midlands",,,,"Overall","Overall",2814,2024,2140,0,2050,90,"0","95.8","4.2"
"202122","Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber",,,,"Overall","Overall",2685,2719,2326,7,2285,34,"0.3","98.2","1.5"
"202223","Academic year","Regional","E92000001","England","E12000003","Yorkshire and The Humber",,,,"Overall","Overall",2698,1940,1988,0,1966,22,"0","98.9","1.1"
"202122","Academic year","Local authority","E92000001","England","E12000007","London","Barking and Dagenham","301","E09000002","Overall","Overall",137,123,138,0,122,16,"0","88.4","11.6"
"202223","Academic year","Local authority","E92000001","England","E12000007","London","Barking and Dagenham","301","E09000002","Overall","Overall",150,109,139,0,117,22,"0","84.2","15.8"
"202122","Academic year","Local authority","E92000001","England","E12000007","London","Barnet","302","E09000003","Overall","Overall",212,198,196,0,186,10,"0","94.9","5.1"
"202223","Academic year","Local authority","E92000001","England","E12000007","London","Barnet","302","E09000003","Overall","Overall",241,188,208,0,196,12,"0","94.2","5.8"
"202122","Academic year","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","Barnsley","370","E08000016","Overall","Overall",100,103,94,0,93,1,"0","98.9","1.1"
"202223","Academic year","Local authority","E92000001","England","E12000003","Yorkshire and The Humber","Barnsley","370","E08000016","Overall","Overall",101,72,80,0,78,2,"0","97.5","2.5"
"202122","Academic year","Local authority","E92000001","England","E12000009","South West","Bath and North East Somerset","800","E06000022","Overall","Overall",41,33,66,0,34,32,"0","51.5","48.5"
"202223","Academic year","Local authority","E92000001","England","E12000009","South West","Bath and North East Somerset","800","E06000022","Overall","Overall",46,29,76,0,35,41,"0","46.1","53.9"
