time_period,time_identifier,geographic_level,country_code,country_name,age,breakdown_topic,breakdown,number-in_ss_cohort,percentage-level_2,number-level_2,percentage-level_3,number-level_3,percentage-l2_eng_gcse_ac,number-l2_eng_gcse_ac,percentage-l2_eng_gcse_othl2,number-l2_eng_gcse_othl2,percentage-l2_maths_gcse_ac,number-l2_maths_gcse_ac,percentage-l2_maths_gcse_othl2,number-l2_maths_gcse_othl2,percentage-l2_em_gcse_ac,number-l2_em_gcse_ac,percentage-l2_em_gcse_othl2,number-l2_em_gcse_othl2,percentage-l2_with_em,number-l2_with_em,percentage-l2_eng_fsq,number-l2_eng_fsq,percentage-l2_maths_fsq,number-l2_maths_fsq
201011,Academic year,National,E92000001,England,16,Sex,Female,294143,65.21011889,191811,x,x,67.18942827,197633,69.63143777,204816,56.542906,166317,59.3225064,174493,52.56388899,154613,55.75077428,163987,52.92935749,155688,x,x,x,x
201011,Academic year,National,E92000001,England,16,Sex,Male,306077,55.92154915,171163,x,x,51.91504099,158900,56.32210195,172389,54.867566,167937,58.39347615,178729,44.60217527,136517,49.39998758,151202,45.10106934,138044,x,x,x,x
201011,Academic year,National,E92000001,England,16,Free School Meal status,FSM eligible,75334,37.03374306,27899,x,x,34.34704118,25875,38.93859346,29334,31.8063557,23961,35.95853134,27089,24.18164441,18217,29.03735365,21875,24.7696923,18660,x,x,x,x
201011,Academic year,National,E92000001,England,16,Free School Meal status,FSM not eligible,524886,63.83767142,335075,x,x,62.99615536,330658,66.27553412,347871,59.11626525,310293,62.1340634,326133,51.99471885,272913,55.88146759,293314,52.40604627,275072,x,x,x,x
201011,Academic year,National,E92000001,England,16,Income Deprivation Affecting Children Index,Attainment gap (between least and most deprived),x,29.80160478,x,x,x,33.04771965,x,30.19099196,x,32.14785339,x,29.67180113,x,34.23316812,x,31.46609387,x,33.53202974,x,x,x,x,x
201011,Academic year,National,E92000001,England,16,Income Deprivation Affecting Children Index,25% most deprived,149471,45.86709128,68558,x,x,42.65643503,63759,47.56842464,71101,39.64648661,59260,44.1142429,65938,31.63958226,47292,37.05133437,55381,32.48590027,48557,x,x,x,x
201011,Academic year,National,E92000001,England,16,Income Deprivation Affecting Children Index,Lower middle,149470,54.68187596,81733,x,x,53.80076269,80416,57.76075467,86335,49.74376129,74352,53.32909614,79711,42.07064963,62883,46.6541781,69734,42.65136817,63751,x,x,x,x
201011,Academic year,National,E92000001,England,16,Income Deprivation Affecting Children Index,Upper middle,149470,65.87609554,98465,x,x,65.61450458,98074,68.46591289,102336,61.77627618,92337,64.36876965,96212,54.62567739,81649,58.03371914,86743,54.80497759,81917,x,x,x,x
201011,Academic year,National,E92000001,England,16,Income Deprivation Affecting Children Index,25% least deprived,149470,75.66869606,113102,x,x,75.70415468,113155,77.75941661,116227,71.79434,107311,73.78604402,110288,65.87275038,98460,68.51742825,102413,66.01793002,98677,x,x,x,x
201011,Academic year,National,E92000001,England,16,Special Educational Need,No identified SEN,470068,70.49001421,331351,x,x,70.07475514,329399,73.35491886,344818,65.45478527,307682,68.52902133,322133,58.18328412,273501,62.22376337,292494,58.62938979,275598,x,x,x,x
201011,Academic year,National,E92000001,England,16,Special Educational Need,Identified SEN,130150,24.29734921,31623,x,x,20.84748367,27133,24.88359585,32386,20.41644257,26572,23.88628506,31088,13.54514022,17629,17.43680369,22694,13.93315405,18134,x,x,x,x
201011,Academic year,National,E92000001,England,16,Total,Total,600220,60.47349305,362974,x,x,59.40038652,356533,62.84445703,377205,55.68858085,334254,58.84875546,353222,48.50388191,291130,52.51224551,315189,48.93738962,293732,0.016160741,97,0.048482223,291
201011,Academic year,National,E92000001,England,17,Sex,Female,294143,74.79627256,220008,19.87842648,58471,69.32954379,203928,73.33269872,215703,58.8781647,173186,62.42745875,183626,55.44276083,163081,59.54790697,175156,57.23168663,168343,x,x,x,x
201011,Academic year,National,E92000001,England,17,Sex,Male,306077,65.2613558,199750,14.16146917,43345,54.67317048,167342,61.33227913,187724,57.10915881,174798,62.09156519,190048,47.83959592,146426,54.37847339,166440,50.3909147,154235,x,x,x,x
201011,Academic year,National,E92000001,England,17,Free School Meal status,FSM eligible,75334,49.03894656,36943,5.338890806,4022,36.99259299,27868,44.0000531,33147,33.64218016,25344,39.23328112,29556,26.75684286,20157,33.05678711,24903,29.16213131,21969,x,x,x,x
201011,Academic year,National,E92000001,England,17,Free School Meal status,FSM not eligible,524886,72.93297973,382815,18.63147426,97794,65.42411114,343402,70.54484212,370280,61.46858556,322640,65.56052171,344118,55.12625599,289350,60.33557763,316693,57.2712932,300609,x,x,x,x
201011,Academic year,National,E92000001,England,17,Income Deprivation Affecting Children Index,Attainment gap (between least and most deprived),x,25.31181712,x,20.02413584,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
201011,Academic year,National,E92000001,England,17,Income Deprivation Affecting Children Index,25% most deprived,149471,57.30476146,85654,7.583410829,11335,45.50247205,68013,52.54597882,78541,41.73117193,62376,47.40785838,70861,34.54850774,51640,41.27288906,61691,37.33633949,55807,x,x,x,x
