col_name,col_type,label,indicator_grouping,indicator_unit,indicator_dp,filter_hint,filter_grouping_column
age,Filter,Age,,,,,
breakdown_topic,Filter,Breakdown topic,,,,,
breakdown,Filter,Breakdown,,,,,
number-in_ss_cohort,Indicator,Number in state school cohort,,,0,,
percentage-l2,Indicator,Percentage achieving Level 2,,,1,,
number-l2,Indicator,Number achieving Level 2,,,0,,
percentage-l3,Indicator,Percentage achieving Level 3,,,1,,
number-l3,Indicator,Number achieving Level 3,,,0,,
percentage-l2_eng_gcse_ac,Indicator,Percentage achieving Level 2 Engineering GCSE AC,,,1,,
number-l2_eng_gcse_ac,Indicator,Number achieving Level 2 Engineering GCSE AC,,,0,,
percentage-l2_eng_gcse_othl2,Indicator,Percentage achieving Level 2 Engineering GCSE OTHL,,,1,,
number-l2_eng_gcse_othl2,Indicator,Number achieving Level 2 Engineering GCSE OTHL,,,0,,
percentage-l2_maths_gcse_ac,Indicator,Percentage achieving Level 2 Maths GCSE AC,,,1,,
number-l2_maths_gcse_ac,Indicator,Number achieving Level 2 Maths GCSE AC,,,0,,
percentage-l2_maths_gcse_othl2,Indicator,Percentage achieving Level 2 Maths GCSE OTHL,,,1,,
number-l2_maths_gcse_othl2,Indicator,Number achieving Level 2 Maths GCSE OTHL,,,0,,
percentage-l2_em_gcse_ac,Indicator,Percentage achieving Level 2 Em GCSE AC,,,1,,
number-l2_em_gcse_ac,Indicator,Number achieving Level 2 Em GCSE AC,,,0,,
percentage-l2_em_gcse_othl2,Indicator,Percentage achieving Level 2 Em GCSE OTHL,,,1,,
number-l2_em_gcse_othl2,Indicator,Number achieving Level 2 Em GCSE OTHL,,,0,,
percentage-l2_with_em,Indicator,Percentage achieving Level 2 With EM,,,1,,
number-l2_with_em,Indicator,Number achieving Level 2 With EM,,,0,,
percentage-l2_eng_fsq,Indicator,Percentage achieving Level 2 Eng FSQ,,,1,,
number-l2_eng_fsq,Indicator,Number achieving Level 2 Eng FSQ,,,0,,
percentage-l2_maths_fsq,Indicator,Percentage achieving Level 2 Maths FSQ,,,1,,
number-l2_maths_fsq,Indicator,Number achieving Level 2 Maths FSQ,,,0,,
