"time_period","time_identifier","geographic_level","country_code","country_name","age","breakdown_topic","breakdown","achievement","number","percentage"
201011,"Academic year","National","E92000001","England","16","Sex","Female","State sector cohort","294143","x"
201011,"Academic year","National","E92000001","England","16","Sex","Female","Level 2","191811","65.21011889"
201011,"Academic year","National","E92000001","England","16","Sex","Female","Level 3","x","x"
201011,"Academic year","National","E92000001","England","16","Sex","Female","Level 2 Engineering GCSE AC","197633","67.18942827"
201011,"Academic year","National","E92000001","England","16","Sex","Female","Level 2 Engineering GCSE OTHL","204816","69.63143777"
201011,"Academic year","National","E92000001","England","16","Sex","Female","Level 2 Maths GCSE AC","166317","56.542906"
201011,"Academic year","National","E92000001","England","16","Sex","Female","Level 2 Maths GCSE OTHL","174493","59.3225064"
201011,"Academic year","National","E92000001","England","16","Sex","Female","Level 2 EM GCSE AC","154613","52.56388899"
201011,"Academic year","National","E92000001","England","16","Sex","Female","Level 2 EM GCSE OTHL","163987","55.75077428"
201011,"Academic year","National","E92000001","England","16","Sex","Female","Level 2 with EM","155688","52.92935749"
201011,"Academic year","National","E92000001","England","16","Sex","Female","Level 2 Engineering FSQ","x","x"
201011,"Academic year","National","E92000001","England","16","Sex","Female","Level 2 Maths FSQ","x","x"
201011,"Academic year","National","E92000001","England","16","Sex","Male","State sector cohort","306077","x"
201011,"Academic year","National","E92000001","England","16","Sex","Male","Level 2","171163","55.92154915"
201011,"Academic year","National","E92000001","England","16","Sex","Male","Level 3","x","x"
201011,"Academic year","National","E92000001","England","16","Sex","Male","Level 2 Engineering GCSE AC","158900","51.91504099"
201011,"Academic year","National","E92000001","England","16","Sex","Male","Level 2 Engineering GCSE OTHL","172389","56.32210195"
201011,"Academic year","National","E92000001","England","16","Sex","Male","Level 2 Maths GCSE AC","167937","54.867566"
201011,"Academic year","National","E92000001","England","16","Sex","Male","Level 2 Maths GCSE OTHL","178729","58.39347615"
201011,"Academic year","National","E92000001","England","16","Sex","Male","Level 2 EM GCSE AC","136517","44.60217527"
201011,"Academic year","National","E92000001","England","16","Sex","Male","Level 2 EM GCSE OTHL","151202","49.39998758"
201011,"Academic year","National","E92000001","England","16","Sex","Male","Level 2 with EM","138044","45.10106934"
201011,"Academic year","National","E92000001","England","16","Sex","Male","Level 2 Engineering FSQ","x","x"
201011,"Academic year","National","E92000001","England","16","Sex","Male","Level 2 Maths FSQ","x","x"
201011,"Academic year","National","E92000001","England","16","Free School Meal status","FSM eligible","State sector cohort","75334","x"
201011,"Academic year","National","E92000001","England","16","Free School Meal status","FSM eligible","Level 2","27899","37.03374306"
201011,"Academic year","National","E92000001","England","16","Free School Meal status","FSM eligible","Level 3","x","x"
201011,"Academic year","National","E92000001","England","16","Free School Meal status","FSM eligible","Level 2 Engineering GCSE AC","25875","34.34704118"
201011,"Academic year","National","E92000001","England","16","Free School Meal status","FSM eligible","Level 2 Engineering GCSE OTHL","29334","38.93859346"
201011,"Academic year","National","E92000001","England","16","Free School Meal status","FSM eligible","Level 2 Maths GCSE AC","23961","31.8063557"
201011,"Academic year","National","E92000001","England","16","Free School Meal status","FSM eligible","Level 2 Maths GCSE OTHL","27089","35.95853134"
201011,"Academic year","National","E92000001","England","16","Free School Meal status","FSM eligible","Level 2 EM GCSE AC","18217","24.18164441"
201011,"Academic year","National","E92000001","England","16","Free School Meal status","FSM eligible","Level 2 EM GCSE OTHL","21875","29.03735365"
201011,"Academic year","National","E92000001","England","16","Free School Meal status","FSM eligible","Level 2 with EM","18660","24.7696923"
201011,"Academic year","National","E92000001","England","16","Free School Meal status","FSM eligible","Level 2 Engineering FSQ","x","x"
201011,"Academic year","National","E92000001","England","16","Free School Meal status","FSM eligible","Level 2 Maths FSQ","x","x"
201011,"Academic year","National","E92000001","England","16","Free School Meal status","FSM not eligible","State sector cohort","524886","x"
